id,nodesize,type
s151,0.375,2
s152,0.125,2
s153,0.075,2
s154,0.225,2
s155,1.225,2
s156,2.05,2
s157,1.975,2
s158,8.875,2
s159,0.125,2
s160,5.975,2
s161,3.85,2
s162,3.9,2
s163,3.575,2
s164,1.375,2
s165,1.025,2
s166,2.125,2
s167,4.15,2
s168,4.6,2
s169,1.925,2
s170,4.775,2
s171,3.975,2
s172,3.4,2
s173,0.6,2
s174,1.6,2
s175,4.45,2
s176,6.05,2
s177,1.825,2
s178,1.225,2
s179,0.7,2
s180,1.35,2
s181,1.375,2
s182,2.675,2
s183,1.025,2
s184,2.875,2
s185,1,2
s186,1.65,2
s187,0.725,2
s188,2.6,2
s189,0.525,2
s190,1.85,2
s191,1.65,2
s192,3.75,2
s193,2.1,2
s194,3.375,2
s195,0.95,2
s196,0.5,2
s197,3.675,2
s198,0.325,2
s199,1.275,2
s200,2.2,2
s201,1.1,2
s202,5.925,2
s203,2.15,2
s204,1.825,2
s205,2.65,2
s206,0.3,2
s207,1.55,2
s208,1.65,2
s209,1.25,2
s210,0.65,2
s211,2.275,2
s212,0.45,2
s213,0.125,2
s214,2.125,2
s215,0.45,2
s216,0.1,2
s217,0.8,2
s218,0.325,2
s219,0.425,2
s220,0.225,2
s221,0.45,2
s222,1.375,2
s223,1.5,2
s224,0.3,2
s225,1.1,2
s226,0.5,2
s227,0.125,2
s228,0.2,2
s229,1.275,2
s230,0.425,2
s231,0.175,2
s232,1.075,2
s233,0.2,2
s234,0.85,2
s235,0.375,2
s236,0.175,2
s237,0.375,2
s238,0.325,2
s239,0.175,2
s240,0.35,2
s241,0.825,2
s242,0.45,2
s243,1.975,2
s244,0.35,2
s245,0.525,2
s246,1.6,2
s247,0.65,2
s248,2.35,2
s249,1.4,2
s250,3.825,2
s251,0.65,2
s252,1.075,2
s253,1.175,2
s254,0.225,2
s255,0.125,2
s256,1.05,2
s257,0.725,2
s258,0.525,2
s259,0.25,2
s260,0.9,2
s261,2.4,2
s262,3.375,2
s263,0.55,2
s264,3.475,2
s265,4.95,2
s266,2.225,2
s267,1.525,2
s268,1.2,2
s269,2.8,2
s270,0.6,2
s271,0.4,2
s272,0.225,2
s273,1.425,2
s274,0.125,2
s275,0.725,2
s276,0.5,2
s277,1.4,2
s278,3.1,2
s279,1.375,2
s280,0.175,2
s281,2.05,2
s282,1.9,2
s283,3.975,2
s284,0.8,2
s285,1.525,2
s286,0.2,2
s287,1.575,2
s288,0.85,2
s289,1.175,2
s290,1.825,2
s291,0.425,2
s292,0.775,2
s293,0.35,2
s294,0.175,2
s295,0.275,2
s296,0.325,2
s297,0.2,2
s298,0.15,2
s299,0.4,2
s300,0.75,2
s301,1,2
s302,1.4,2
s303,2.425,2
s304,2.4,2
s305,2.7,2
s306,2.575,2
s307,0.35,2
s308,1.2,2
s309,0.4,2
s310,0.775,2
s311,2.275,2
s312,1.375,2
s313,0.425,2
s314,0.4,2
s315,0.375,2
s316,1.65,2
s317,0.35,2
s318,0.325,2
s319,0.35,2
s320,0.125,2
s321,0.7,2
s322,1.325,2
s323,1.05,2
s324,0.075,2
s325,0,2
s326,0.675,2
s327,0.225,2
s328,4.25,2
s329,11.85,2
s330,0.35,2
s331,4.225,2
s332,1.675,2
s333,4.925,2
s334,0,2
s335,1,2
s336,0.7,2
s337,2.45,2
s338,1.325,2
s339,1.05,2
s340,0.65,2
s341,3.15,2
s342,0.075,2
s343,0.675,2
s344,3.075,2
s345,2.8,2
s346,3.3,2
s347,0.025,2
s348,0.45,2
s349,2.7,2
s350,0.225,2
s351,0.45,2
s352,1.375,2
s353,2.075,2
s354,2.175,2
s355,1.45,2
s356,1.925,2
s357,0.325,2
s358,0.45,2
s359,1.975,2
s360,0.325,2
s361,1.825,2
s362,0.45,2
s363,0.125,2
s364,0.45,2
s365,1.55,2
s366,0.325,2
s367,1.075,2
s368,4.775,2
s369,2.025,2
s370,0.1,2
s371,0.55,2
s372,1,2
s373,0.45,2
s374,1.025,2
s375,1,2
s376,1.225,2
s377,2.425,2
s378,1.05,2
s379,0.725,2
s380,1.175,2
s381,0.9,2
s382,0.675,2
s383,0.9,2
s384,1.4,2
s385,0.1,2
s386,0.65,2
s387,0.975,2
s388,0.175,2
s389,0.35,2
s390,0.5,2
s391,0.6,2
s392,1.4,2
s393,0.175,2
s394,2.925,2
s395,0.675,2
s396,0,2
s397,0.55,2
s398,0.375,2
s399,3.275,2
s400,0.4,2
s401,0.15,2
s402,0.25,2
s403,0.1,2
s404,0.3,2
s405,0.3,2
s406,1.875,2
s407,1.875,2
s408,1.2,2
s409,1.2,2
s410,0.15,2
s411,0.15,2
s412,0.65,2
s413,0.65,2
s414,1.225,2
s415,1.05,2
s416,0.85,2
s417,0.85,2
s418,1.05,2
s419,1.2,2
s420,0.2,2
s421,0.125,2
s422,0.05,2
s423,0.3,2
s424,0.625,2
s425,0.25,2
s426,0.225,2
s427,0.225,2
s428,1.7,2
s429,0.325,2
s430,0.25,2
s431,0.275,2
s432,3.375,2
s433,5.7,2
s434,0.675,2
s435,1.175,2
s436,1.05,2
s437,0.85,2
s438,0.4,2
s439,0.425,2
s440,0.35,2
s441,0.3,2
s442,0.8,2
s443,2.375,2
s444,0.85,2
s445,0.275,2
s446,0.45,2
s447,0.85,2
s448,0.25,2
s449,1.1,2
s450,0.275,2
s451,0.525,2
s452,0.2,2
s453,0.075,2
s454,0.825,2
s455,0.025,2
s456,0.8,2
s457,0.25,2
s458,0,2
s459,0.1,2
s460,0.825,2
s461,0.325,2
s462,0.075,2
s463,3.15,2
s464,0.275,2
s465,0,2
s466,0.175,2
s467,0.275,2
s468,0.575,2
s469,1.025,2
s470,0.375,2
s471,0.625,2
s472,0.575,2
s473,1.675,2
s474,0.075,2
s475,1.05,2
s476,0.9,2
s477,0.75,2
s478,0.125,2
s479,3.875,2
s480,2.8,2
s481,0,2
s482,1.125,2
s483,0.7,2
s484,0.225,2
s485,0.25,2
s486,2.45,2
s487,2.2,2
s488,0.525,2
s489,1.5,2
s490,0.475,2
s491,0.425,2
s492,0.875,2
s493,0.7,2
s494,0.8,2
s495,0.025,2
s496,1.575,2
s497,0.825,2
s498,0.75,2
s499,0.2,2
s500,0.175,2
s501,0.825,2
s502,0.4,2
s503,0.55,2
s504,0.7,2
s505,0.275,2
s506,0.225,2
s507,0.225,2
s508,0.125,2
s509,3.3,2
s510,0.55,2
s511,0.225,2
s512,0.45,2
s513,0.525,2
s514,1.7,2
s515,0.1,2
s516,0,2
s517,1.15,2
s518,0.4,2
s519,1.375,2
s520,0.1,2
s521,4.825,2
s522,1.325,2
s523,0.25,2
s524,1.15,2
s525,0.625,2
s526,0.45,2
s527,4.225,2
s528,1.175,2
s529,1.125,2
s530,0.375,2
s531,0.65,2
s532,0.3,2
s533,0.65,2
s534,0.25,2
s535,0.2,2
s536,0.075,2
s537,0.825,2
s538,0.55,2
s539,0.325,2
s540,2.1,2
s541,0.125,2
s542,0.275,2
s543,0.1,2
s544,0.125,2
s545,0.125,2
s546,0.05,2
s547,0.025,2
s548,0.25,2
s549,0.275,2
s550,0.05,2
s551,0.6,2
s552,0.15,2
s553,0.95,2
s554,0.025,2
s555,1.35,2
s556,4,2
s557,7.375,2
s558,2.7,2
s559,4,2
s560,2.225,2
s561,0.125,2
s562,0.05,2
s563,0.25,2
s564,0.425,2
s565,0.025,2
s566,0,2
s567,0.675,2
s568,0.175,2
s569,0.1,2
s570,0.1,2
s571,0.1,2
s572,0.05,2
s573,0.05,2
s574,0.2,2
s575,0.025,2
